url,title,h1,h2s,top_words,top_bigrams,word_count
https://irisvision.ai,Iris Intelligence,Iris,You&#x27;ve Felt It.Something&#x27;s Broken. | $378+/Month.16+ Tools. | AI Was Supposed toSet You Free. | Dream It. Iris Builds It. | 50+ Ways to Bring YourVision to Life. | The World You Knewvs. The One You&#x27;re Building. | The Future Doesn&#x27;t Wait.Neither Should You.,"one(8), iris(7), tools(7), pro(6), presentations(4), prompt(4), intelligence(3), sign(3), get(3), world(3), websites(3), research(3), reports(3), hours(3), just(3), month(3), intense(2), models(2), all(2), done(2)","iris intelligence(2), presentations websites(2), intense research(2), one prompt(2), prompt all(2), all done(2), hours year(2), just added(2), prompt copy(2), copy paste(2), paste format(2), format fix(2), fix repeat(2), trapped loops(2), loops built(2)",313
https://irisvision.ai/,Iris Intelligence,Iris,You&#x27;ve Felt It.Something&#x27;s Broken. | $378+/Month.16+ Tools. | AI Was Supposed toSet You Free. | Dream It. Iris Builds It. | 50+ Ways to Bring YourVision to Life. | The World You Knewvs. The One You&#x27;re Building. | The Future Doesn&#x27;t Wait.Neither Should You.,"one(8), iris(7), tools(7), pro(6), presentations(4), prompt(4), intelligence(3), sign(3), get(3), world(3), websites(3), research(3), reports(3), hours(3), just(3), month(3), intense(2), models(2), all(2), done(2)","iris intelligence(2), presentations websites(2), intense research(2), one prompt(2), prompt all(2), all done(2), hours year(2), just added(2), prompt copy(2), copy paste(2), paste format(2), format fix(2), fix repeat(2), trapped loops(2), loops built(2)",313
https://irisvision.ai/auth?mode=signin,Iris Intelligence,,,"iris(1), intelligence(1)",iris intelligence(1),2
https://irisvision.ai/auth?mode=signup,Iris Intelligence,,,"iris(1), intelligence(1)",iris intelligence(1),2
https://irisvision.ai/use-cases,Iris Intelligence,Everything Iris Can Build,Start Creating,"build(22), slides(21), presentation(19), iris(5), intelligence(3), sign(3), started(3), can(3), create(3), amp(3), future(3), get(2), websites(2), prompt(2), all(2), launch(2), through(2), india(2), gym(2), federer(2)","build slides(21), slides presentation(19), iris intelligence(2), get started(2), intelligence sign(1), sign sign(1), sign capabilities(1), capabilities use(1), use cases(1), cases resources(1), resources pricing(1), pricing sign(1), sign get(1), started everything(1), everything iris(1)",255
https://irisvision.ai/pricing,Pricing - AI Agent Platform Plans &amp; Pricing | Iris Intelligence,"Simple, Honest Pricing",Choose Your Iris Experience | Still Thinking?,"unlimited(11), iris(10), get(7), access(5), pricing(4), intelligence(4), started(4), free(4), reserve(4), refresh(4), credits(4), enhance(4), vision(4), chats(4), tasks(4), pptx(4), pdf(4), docx(4), export(4), support(4)","get started(4), reserve refresh(4), refresh credits(4), credits enhance(4), unlimited chats(4), chats tasks(4), tasks unlimited(4), unlimited pptx(4), pptx pdf(4), pdf docx(4), docx export(4), access get(4), export iris(3), support early(3), early access(3)",292
https://irisvision.ai/legal/privacy,Privacy Policy | Iris,Privacy Policy,Introduction | Data We Collect | How We Use Your Data | Your Rights Under DPDP Act 2023 | Data Retention | Third-Party Services | Data Security | Data Breach Notification,"data(50), privacy(15), policy(14), security(14), email(13), personal(12), rights(12), account(12), consent(12), use(11), information(11), act(11), service(11), cookies(11), can(11), quot(10), services(10), dpdp(10), protection(8), right(8)","personal data(9), dpdp act(9), privacy policy(8), data protection(8), email protected(5), quot quot(4), any time(4), can request(4), within days(4), personal information(3), agent configurations(3), cookies amp(3), amp tracking(3), analytics cookies(3), withdraw consent(3)",1244
https://irisvision.ai/legal/terms,Terms of Service | Iris,Terms of Service,Acceptance of Terms | Service Description | Account Registration &amp; Responsibilities | Acceptable Use Policy | Service Level Agreement | Billing &amp; Payments | Subscription &amp; Auto-Renewal | Refunds &amp; Cancellation,"quot(30), account(30), iris(27), terms(25), service(23), use(19), any(17), data(14), amp(13), all(12), content(12), access(11), days(11), email(10), agree(9), must(9), india(9), indian(9), law(9), including(9)","quot quot(8), terms service(7), using iris(6), use iris(5), intellectual property(5), email protected(5), account settings(5), acceptable use(4), use policy(4), within days(4), any time(4), take effect(4), consumer protection(4), iris platform(3), india jurisdiction(3)",1827
https://irisvision.ai/pricing/,Pricing - AI Agent Platform Plans &amp; Pricing | Iris Intelligence,"Simple, Honest Pricing",Choose Your Iris Experience | Still Thinking?,"unlimited(11), iris(10), get(7), access(5), pricing(4), intelligence(4), started(4), free(4), reserve(4), refresh(4), credits(4), enhance(4), vision(4), chats(4), tasks(4), pptx(4), pdf(4), docx(4), export(4), support(4)","get started(4), reserve refresh(4), refresh credits(4), credits enhance(4), unlimited chats(4), chats tasks(4), tasks unlimited(4), unlimited pptx(4), pptx pdf(4), pdf docx(4), docx export(4), access get(4), export iris(3), support early(3), early access(3)",292
https://irisvision.ai/auth,Iris Intelligence,,,"iris(1), intelligence(1)",iris intelligence(1),2
