cluster,keyword_count,keywords
service level,5,Service Level Agreement | Service Level Credits | Service Level Agreement | Service Level Credits | Service Level Agreement
acceptance of,3,Acceptance of Terms | Acceptance of Terms | Acceptance of Terms
service description,3,Service Description | Service Description | Service Description
account registration,3,Account Registration &amp; Responsibilities | Account Registration &amp; Responsibilities | Account Registration &amp; Responsibilities
acceptable use,3,Acceptable Use Policy | Acceptable Use Policy | Acceptable Use Policy
billing &amp;,3,Billing &amp; Payments | Billing &amp; Payments | Billing &amp; Payments
subscription &amp;,3,Subscription &amp; Auto-Renewal | Subscription &amp; Auto-Renewal | Subscription &amp; Auto-Renewal
refunds &amp;,3,Refunds &amp; Cancellation | Refunds &amp; Cancellation | Refunds &amp; Cancellation
low vision,2,low vision glasses | low vision aids
you&#x27;ve felt,2,You&#x27;ve Felt It.Something&#x27;s Broken. | You&#x27;ve Felt It.Something&#x27;s Broken.
$378+/month.16+ tools.,2,$378+/Month.16+ Tools. | $378+/Month.16+ Tools.
ai was,2,AI Was Supposed toSet You Free. | AI Was Supposed toSet You Free.
dream it.,2,Dream It. Iris Builds It. | Dream It. Iris Builds It.
50+ ways,2,50+ Ways to Bring YourVision to Life. | 50+ Ways to Bring YourVision to Life.
the world,2,The World You Knewvs. The One You&#x27;re Building. | The World You Knewvs. The One You&#x27;re Building.
the future,2,The Future Doesn&#x27;t Wait.Neither Should You. | The Future Doesn&#x27;t Wait.Neither Should You.
choose your,2,Choose Your Iris Experience | Choose Your Iris Experience
still thinking?,2,Still Thinking? | Still Thinking?
introduction,2,Introduction | Introduction
data we,2,Data We Collect | Data We Collect
how we,2,How We Use Your Data | How We Use Your Data
your rights,2,Your Rights Under DPDP Act 2023 | Your Rights Under DPDP Act 2023
data retention,2,Data Retention | Data Retention
third-party services,2,Third-Party Services | Third-Party Services
data security,2,Data Security | Data Security
data breach,2,Data Breach Notification | Data Breach Notification
refund eligibility,2,Refund Eligibility | Refund Eligibility
refund timeline,2,Refund Timeline &amp; Process | Refund Timeline &amp; Process
how to,2,How to Cancel Your Subscription | How to Cancel Your Subscription
auto-renewal &amp;,2,Auto-Renewal &amp; Billing Cycle | Auto-Renewal &amp; Billing Cycle
pro-rata refunds,2,Pro-Rata Refunds | Pro-Rata Refunds
non-refundable items,2,Non-Refundable Items | Non-Refundable Items
wearable low,1,wearable low vision device
macular degeneration,1,macular degeneration glasses
glaucoma vision,1,glaucoma vision aid
ai vision,1,AI vision assistance
electronic glasses,1,electronic glasses for the blind
assistive technology,1,assistive technology for low vision
vision rehabilitation,1,vision rehabilitation device
smart glasses,1,smart glasses for visually impaired
start creating,1,Start Creating
